Property ID,Zip code,City,Type of Property,Subtype of Property,Price (€),Construction year,Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Building condition,Elevator,Basement,Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale,Region,Price per m²
10545401,5542,blaimont,house,country cottage,79000,,2.0,50.0,,1,0.0,1.0,11.0,1.0,344.0,344.0,1.0,0,As new,0,0,,,,Electric,,6.0,Walloon,1580.0
10373557,6870,saint-hubert,house,bungalow,89000,,1.0,89.0,Not installed,0,0.0,1.0,0.0,1.0,406.0,406.0,4.0,0,To renovate,0,1,674.0,10.0,G,,0.0,2.0,Walloon,1000.0
10425271,6940,barvaux (-sur-ourthe),house,bungalow,139000,,1.0,37.0,,0,0.0,1.0,0.0,1.0,691.0,762.0,4.0,0,To be done up,0,0,1742.0,497.0,G,,,3.0,Walloon,3756.7567567567567
10529008,1450,cortil-noirmont,house,country cottage,165000,,2.0,127.0,Not installed,0,0.0,0.0,0.0,1.0,0.0,1520.0,,0,To renovate,0,0,886.0,219.0,G,Fuel oil,0.0,2.0,Walloon,1299.2125984251968
9939115,6200,chÃtelet chÃtelineau,house,town house,175000,1978.0,3.0,190.0,Semi equipped,0,0.0,0.0,0.0,0.0,0.0,359.0,3.0,0,To be done up,0,0,550.0,,G,,1.0,3.0,Walloon,921.0526315789474
10575035,2610,wilrijk,house,villa,1950000,1950.0,4.0,306.0,,0,0.0,0.0,0.0,1.0,0.0,1157.0,,0,Good,0,1,294.0,,C,Gas,,4.0,Flemish,6372.549019607844
10575033,8200,sint-michiels,house,house,229000,,3.0,137.0,Semi equipped,0,0.0,1.0,60.0,0.0,0.0,252.0,3.0,0,To renovate,0,0,464.0,,E,Gas,1.0,2.0,Flemish,1671.5328467153286
10575030,8210,zedelgem,apartment,apartment,519472,,3.0,137.0,Installed,0,0.0,1.0,71.0,0.0,0.0,,3.0,0,As new,1,0,,,,,2.0,6.0,Flemish,3791.7664233576643
10575029,1640,rhode-saint-genese,house,house,569000,2010.0,6.0,180.0,USA hyper equipped,0,0.0,1.0,15.0,1.0,350.0,503.0,3.0,0,As new,0,1,132.0,5976.0,B,,3.0,6.0,Flemish,3161.1111111111113
10575026,1730,asse,apartment,apartment,150000,,1.0,62.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,,0,,1,0,330.0,,D,Gas,2.0,,Flemish,2419.3548387096776
10575018,2640,mortsel,apartment,apartment,189000,1956.0,2.0,89.0,Semi equipped,0,1.0,1.0,0.0,0.0,0.0,,2.0,0,To be done up,1,1,439.0,,E,Fuel oil,1.0,3.0,Flemish,2123.5955056179773
10575017,3920,lommel,apartment,apartment,255000,2007.0,2.0,120.0,Installed,0,0.0,0.0,0.0,1.0,0.0,,3.0,0,,0,0,167.0,,B,Gas,2.0,,Flemish,2125.0
